b2,A2,1560933371218,-90
b2,C9,1560933371220,-88
b2,C1,1560933371221,-77
b2,E9,1560933371223,-87
b2,100,1560933371224,-81
b2,E14,1560933371225,-89
b2,C3,1560933371227,-88
b2,D1,1560933371230,-76
b2,C6,1560933371230,-67
b2,A3,1560933371231,-85
b2,E8,1560933371231,-85
b2,E15,1560933371232,-91
b2,E11,1560933371240,-86
b2,C4,1560933371246,-67
b2,E10,1560933371717,-88
b2,E13,1560933371718,-95
b2,A2,1560933371719,-91
b2,C1,1560933371722,-73
b2,C9,1560933371723,-79
b2,E9,1560933371726,-91
b2,100,1560933371726,-87
b2,E14,1560933371729,-89
b2,C10,1560933371729,-77
b2,Bed3,1560933371730,-67
b2,Bed10,1560933371730,-82
b2,Bed2,1560933371731,-89
b2,Bed4,1560933371731,-80
b2,C12,1560933371732,-76
b2,E8,1560933371732,-80
b2,D1,1560933371732,-77
b2,A3,1560933371733,-86
b2,C6,1560933371733,-84
b2,D2,1560933371733,-77
b2,E0,1560933371735,-93
b2,E15,1560933371735,-92
b2,E11,1560933371744,-78
b2,C4,1560933371748,-81
b2,E13,1560933372222,-76
b2,C1,1560933372226,-73
b2,C9,1560933372228,-81
b2,C10,1560933372233,-70
b2,Bed10,1560933372234,-76
b2,Bed3,1560933372235,-68
b2,C6,1560933372236,-66
b2,C12,1560933372237,-72
b2,D2,1560933372237,-79
b2,D1,1560933372237,-81
b2,E8,1560933372238,-82
b2,A3,1560933372238,-75
b2,E0,1560933372240,-89
b2,E10,1560933372730,-93
b2,E13,1560933372731,-73
b2,C1,1560933372735,-77
b2,C9,1560933372737,-77
b2,E9,1560933372740,-89
b2,100,1560933372740,-81
b2,Bed10,1560933372743,-80
b2,C10,1560933372743,-74
b2,C3,1560933372743,-92
b2,Bed3,1560933372744,-78
b2,C6,1560933372745,-74
b2,D2,1560933372746,-82
b2,E8,1560933372746,-75
b2,E15,1560933372748,-89
b2,E11,1560933372756,-94
b2,C4,1560933372763,-76
b2,E10,1560933373231,-89
b2,E13,1560933373233,-73
b2,A2,1560933373236,-82
b2,C9,1560933373237,-77
b2,C1,1560933373239,-72
b2,E9,1560933373241,-89
b2,100,1560933373241,-86
b2,E14,1560933373243,-88
b2,C10,1560933373243,-77
b2,C3,1560933373245,-87
