beaconid, time, lng, lat
b2,2022-02-15T06:50:45.426Z,-0.26413173441682264,0.06714165174791194,183
b2,2022-02-15T06:50:45.929Z,-0.26346900094915576,0.06715118578882721,183
b2,2022-02-15T06:50:46.431Z,-0.26302079874118617,0.06715796083366285,183
b2,2022-02-15T06:50:46.934Z,-0.26268497323739304,0.06716207203296085,183
b2,2022-02-15T06:50:47.436Z,-0.2625669021286346,0.06716333620621025,183
b2,2022-02-15T06:50:47.939Z,-0.2628176852839236,0.0671596632631918,183
b2,2022-02-15T06:50:48.442Z,-0.2631542713585461,0.06715487689606872,183
b2,2022-02-15T06:50:48.946Z,-0.263476545341857,0.067150307848319,183
b2,2022-02-15T06:50:49.449Z,-0.263844501783596,0.06714515225680193,183
b2,2022-02-15T06:50:49.954Z,-0.2642477115431083,0.0671395332334871,183
b2,2022-02-15T06:50:50.458Z,-0.2647431734154771,0.06713265609970387,183
b2,2022-02-15T06:50:50.961Z,-0.26519097608008263,0.06712645647528084,183
b2,2022-02-15T06:50:51.464Z,-0.26678221472251135,0.06710442917912407,183
b2,2022-02-15T06:50:51.967Z,-0.2675701512705103,0.06709350520762616,183
b2,2022-02-15T06:50:52.470Z,-0.2682172758647022,0.06708455593656817,183
b2,2022-02-15T06:50:52.973Z,-0.2676046194858418,0.06709316529348355,183
b2,2022-02-15T06:50:53.475Z,-0.2669194219040554,0.06710282435994995,183
b2,2022-02-15T06:50:53.978Z,-0.267391307783799,0.06709652280616753,183
b2,2022-02-15T06:50:54.481Z,-0.2673071074344016,0.06709779521021993,183
b2,2022-02-15T06:50:54.984Z,-0.26607285347988313,0.06711498354939731,183
b2,2022-02-15T06:50:55.486Z,-0.26617016220904816,0.06711364514419912,183
b2,2022-02-15T06:50:55.990Z,-0.2665925781032177,0.0671077699392015,183
b2,2022-02-15T06:50:56.494Z,-0.26717559716600436,0.06710030544825238,183
b2,2022-02-15T06:50:56.997Z,-0.26673390179091383,0.0671064274511471,183
b2,2022-02-15T06:50:57.499Z,-0.26637672176686167,0.06711145611101174,183
b2,2022-02-15T06:50:58.002Z,-0.2660798125063668,0.06711571104952918,183
b2,2022-02-15T06:50:58.505Z,-0.2658508178820244,0.06711962768028865,183
b2,2022-02-15T06:50:59.008Z,-0.265636368107866,0.06712306258721809,183
b2,2022-02-15T06:50:59.512Z,-0.2659677072154576,0.06711922321954535,183
b2,2022-02-15T06:51:00.015Z,-0.2662670049268905,0.06711539467763764,183
b2,2022-02-15T06:51:00.518Z,-0.26634778419403676,0.06711499055266901,183
b2,2022-02-15T06:51:01.020Z,-0.26658112935453493,0.06711521070299094,183
b2,2022-02-15T06:51:01.523Z,-0.2669271048007589,0.06711527751450395,183
b2,2022-02-15T06:51:02.026Z,-0.2673357439148684,0.06711521925309717,183
b2,2022-02-15T06:51:02.528Z,-0.26776257518860963,0.06711510534526141,183
b2,2022-02-15T06:51:03.031Z,-0.2682580961841899,0.06711324418596791,183
b2,2022-02-15T06:51:03.535Z,-0.2686050469481033,0.0671124765171127,183
b2,2022-02-15T06:51:04.037Z,-0.2684909560773713,0.06711317579662018,183
b2,2022-02-15T06:51:04.540Z,-0.26840777323868165,0.06711368477367011,183
b2,2022-02-15T06:51:05.043Z,-0.26823247006682027,0.06711387385438733,183
b2,2022-02-15T06:51:05.546Z,-0.2680968452881762,0.06711384901788817,183
b2,2022-02-15T06:51:06.049Z,-0.2680560582599206,0.06711369897372828,183
b2,2022-02-15T06:51:06.553Z,-0.26830751993216306,0.0671142111864048,183
b2,2022-02-15T06:51:07.055Z,-0.2680421241853382,0.06711550585681576,183
b2,2022-02-15T06:51:07.558Z,-0.2677470550839252,0.06711783307349713,183
b2,2022-02-15T06:51:08.061Z,-0.26747499453913204,0.06712017472400107,183
b2,2022-02-15T06:51:08.567Z,-0.2675606286314471,0.06712110430320385,183
b2,2022-02-15T06:51:09.070Z,-0.2676370478021329,0.06711917033259172,183
b2,2022-02-15T06:51:09.573Z,-0.26771127502312514,0.0671173336920425,183
b2,2022-02-15T06:51:10.077Z,-0.26730706761234596,0.06712105899218812,183
b2,2022-02-15T06:51:10.581Z,-0.2671526216443117,0.06712170807778386,183
b2,2022-02-15T06:51:11.084Z,-0.26703506953744266,0.06712236579826461,183
b2,2022-02-15T06:51:11.587Z,-0.2667228123017869,0.06712424106015548,183
b2,2022-02-15T06:51:12.089Z,-0.26644685050542594,0.06712599692296012,183
b2,2022-02-15T06:51:12.592Z,-0.26620217372725796,0.06712763749430699,183
b2,2022-02-15T06:51:13.096Z,-0.26603573864230734,0.06712863743005781,183
b2,2022-02-15T06:51:13.599Z,-0.26607319151590464,0.06712731515697493,183
b2,2022-02-15T06:51:14.103Z,-0.2659016101211067,0.06712951768968503,183
b2,2022-02-15T06:51:14.607Z,-0.26599871219884175,0.06712819532154272,183
b2,2022-02-15T06:51:15.110Z,-0.26591042677613463,0.06712924049350211,183
b2,2022-02-15T06:51:15.614Z,-0.2658610322273808,0.06713068278936046,183
b2,2022-02-15T06:51:16.118Z,-0.2658416911579164,0.06713205470704318,183
b2,2022-02-15T06:51:16.620Z,-0.26594265496263625,0.06713149535352116,183
b2,2022-02-15T06:51:17.123Z,-0.2660621061076875,0.06713097976408681,183
b2,2022-02-15T06:51:17.627Z,-0.26627132816215643,0.06713021143912601,183
b2,2022-02-15T06:51:18.130Z,-0.26655013173444897,0.06712903290357433,183
b2,2022-02-15T06:51:18.632Z,-0.2665461962556131,0.06712991735978027,183
b2,2022-02-15T06:51:19.135Z,-0.2666234357558028,0.06713006060130747,183
b2,2022-02-15T06:51:19.638Z,-0.2667062282679872,0.06712877544104831,183
b2,2022-02-15T06:51:20.140Z,-0.2667863446184803,0.06712752561170002,183
b2,2022-02-15T06:51:20.643Z,-0.2668356743930793,0.0671261609424666,183
b2,2022-02-15T06:51:21.146Z,-0.2667937958588306,0.06712677312175681,183
b2,2022-02-15T06:51:21.650Z,-0.26695699779966453,0.06712567624880927,183
b2,2022-02-15T06:51:22.153Z,-0.26727876524769256,0.06712337538052623,183
b2,2022-02-15T06:51:22.655Z,-0.26758000298295426,0.06711945553748476,183
b2,2022-02-15T06:51:23.158Z,-0.26791624602352454,0.06711555325857611,183
b2,2022-02-15T06:51:23.662Z,-0.26826429828481546,0.0671124382996166,183
b2,2022-02-15T06:51:24.166Z,-0.2686795806998158,0.06710626329505029,183
b2,2022-02-15T06:51:24.668Z,-0.26899378678016195,0.06710098821993124,183
b2,2022-02-15T06:51:25.171Z,-0.26929810397187315,0.06709579737627455,183
b2,2022-02-15T06:51:25.674Z,-0.2696188210998848,0.06709058853124804,183
b2,2022-02-15T06:51:26.177Z,-0.2699463289606731,0.06708629842415768,183
b2,2022-02-15T06:51:26.680Z,-0.2707915361701237,0.067078866319018,183
b2,2022-02-15T06:51:27.184Z,-0.2713470902445694,0.06707606362248619,183
b2,2022-02-15T06:51:27.694Z,-0.27182156225243337,0.06707509887834477,183
b2,2022-02-15T06:51:28.197Z,-0.2721711804030685,0.06707547618863813,183
b2,2022-02-15T06:51:28.699Z,-0.2725453552118687,0.06707583171911116,183
b2,2022-02-15T06:51:29.203Z,-0.2730515958961013,0.06707728691310584,183
b2,2022-02-15T06:51:29.706Z,-0.2738538502099521,0.06707625809577615,183
b2,2022-02-15T06:51:30.208Z,-0.27449598579308054,0.0670751451280381,183
b2,2022-02-15T06:51:30.711Z,-0.2752491279722439,0.06707453165357159,183
b2,2022-02-15T06:51:31.213Z,-0.2760166032788987,0.06707415553660942,183
b2,2022-02-15T06:51:31.716Z,-0.2768044743354951,0.06707400963530305,183
b2,2022-02-15T06:51:32.219Z,-0.2776891787278747,0.06707412259932635,183
b2,2022-02-15T06:51:32.722Z,-0.278472283679086,0.06707357880826319,183
b2,2022-02-15T06:51:33.225Z,-0.27902286144648225,0.06707328961631749,183
b2,2022-02-15T06:51:33.728Z,-0.2792403350913074,0.06707293375589962,183
b2,2022-02-15T06:51:34.231Z,-0.27986112106151645,0.06707478521281349,183
b2,2022-02-15T06:51:34.736Z,-0.2808417978551965,0.06707585184229312,183
b2,2022-02-15T06:51:35.239Z,-0.2814070439837836,0.06707556576365445,183
b2,2022-02-15T06:51:35.743Z,-0.28187790868129636,0.06707472386391558,183
b2,2022-02-15T06:51:36.251Z,-0.2819265103929876,0.06707231815322298,183
b2,2022-02-15T06:51:36.755Z,-0.28198255269711686,0.0670701719244592,183
b2,2022-02-15T06:51:37.257Z,-0.281980920301844,0.06706854515020205,183
b2,2022-02-15T06:51:37.766Z,-0.28234335356639173,0.06707062545699069,183
b2,2022-02-15T06:51:38.269Z,-0.28226126961109016,0.06707211635331004,183
b2,2022-02-15T06:51:38.773Z,-0.2822575645697346,0.06707364674292067,183
