beaconid, anchorId, time, rssi
b2,b827ebd2aa10,1625737297642,-82
b2,b827ebdef939,1625737297642,-82
b2,b827eb0827cf,1625737297644,-72
b2,b827eb640a9c,1625737297644,-74
b2,b827eb860cbf,1625737297645,-55
b2,b827ebd17612,1625737297648,-75
b2,b827eb5b744d,1625737297648,-61
b2,b827eb3ab224,1625737297649,-80
b2,b827ebc26413,1625737297655,-59
b2,b827ebfa82f0,1625737297657,-79
b2,b827eb3f8951,1625737297663,-70
b2,b827eb259b99,1625737297666,-74
b2,b827eb527b42,1625737297689,-63
b2,b827ebed958b,1625737298131,-70
b2,b827eb640a9c,1625737298143,-67
b2,b827ebdef939,1625737298144,-77
b2,b827eb0827cf,1625737298145,-83
b2,b827eb860cbf,1625737298147,-54
b2,b827eb3ab224,1625737298151,-78
b2,b827ebfa82f0,1625737298159,-61
b2,b827eb3f8951,1625737298164,-68
b2,b827ebed958b,1625737298635,-74
b2,b827eb640a9c,1625737298646,-69
b2,b827ebdef939,1625737298647,-78
b2,b827eb0827cf,1625737298648,-84
b2,b827eb860cbf,1625737298650,-54
b2,b827ebd17612,1625737298653,-83
b2,b827eb3ab224,1625737298654,-82
b2,b827ebc26413,1625737298659,-81
b2,b827ebfa82f0,1625737298662,-70
b2,b827eb3f8951,1625737298666,-58
b2,b827eb527b42,1625737298693,-55
b2,b827eb640a9c,1625737299153,-71
b2,b827ebd2aa10,1625737299154,-83
b2,b827ebdef939,1625737299154,-64
b2,b827eb0827cf,1625737299155,-87
b2,b827eb860cbf,1625737299157,-54
b2,b827eb5b744d,1625737299159,-67
b2,b827eb3ab224,1625737299161,-70
b2,b827ebd17612,1625737299161,-82
b2,b827ebfa82f0,1625737299169,-71
b2,b827eb3f8951,1625737299173,-74
b2,b827eb527b42,1625737299201,-68
b2,b827ebed958b,1625737299652,-75
b2,b827eb640a9c,1625737299663,-56
b2,b827ebdef939,1625737299664,-76
b2,b827ebd2aa10,1625737299664,-80
b2,b827eb0827cf,1625737299665,-85
b2,b827eb860cbf,1625737299668,-43
b2,b827eb5b744d,1625737299669,-67
b2,b827ebc26413,1625737299676,-80
b2,b827eb3f8951,1625737299683,-58
b2,b827eb259b99,1625737299688,-81
b2,b827eb527b42,1625737299710,-69
b2,b827ebed958b,1625737300152,-74
b2,b827ebdef939,1625737300164,-82
b2,b827ebd2aa10,1625737300164,-82
b2,b827eb0827cf,1625737300165,-71
b2,b827eb860cbf,1625737300167,-55
b2,b827eb5b744d,1625737300169,-62
b2,b827eb3ab224,1625737300171,-80
b2,b827ebd17612,1625737300171,-56
b2,b827ebc26413,1625737300177,-64
b2,b827ebfa82f0,1625737300179,-70
b2,b827eb3f8951,1625737300185,-72
b2,b827eb259b99,1625737300188,-74
b2,b827eb527b42,1625737300211,-64
b2,b827ebd2aa10,1625737300674,-82
b2,b827ebdef939,1625737300674,-82
b2,b827eb0827cf,1625737300675,-57
b2,b827eb860cbf,1625737300677,-55
b2,b827eb5b744d,1625737300679,-61
b2,b827eb3ab224,1625737300681,-80
b2,b827ebd17612,1625737300681,-72
b2,b827ebc26413,1625737300686,-74
b2,b827ebfa82f0,1625737300689,-77
b2,b827eb3f8951,1625737300695,-72
b2,b827eb259b99,1625737300698,-73
b2,b827eb527b42,1625737300721,-64
b2,b827ebed958b,1625737301164,-72
b2,b827eb640a9c,1625737301176,-77
b2,b827eb5b744d,1625737301180,-75
b2,b827eb860cbf,1625737301180,-54
b2,b827ebd17612,1625737301182,-75
b2,b827eb3ab224,1625737301184,-67
b2,b827ebc26413,1625737301187,-79
b2,b827ebfa82f0,1625737301192,-76
b2,b827eb3f8951,1625737301196,-69
b2,b827eb259b99,1625737301201,-75
b2,b827eb527b42,1625737301222,-57
b2,b827eb860cbf,1625737301690,-55
b2,b827eb3ab224,1625737301694,-72
b2,b827ebfa82f0,1625737301702,-61
b2,b827eb3f8951,1625737301706,-68
b2,b827eb640a9c,1625737302191,-68
b2,b827ebdef939,1625737302191,-78
b2,b827ebd2aa10,1625737302192,-94
b2,b827eb0827cf,1625737302194,-84
b2,b827eb5b744d,1625737302196,-81
b2,b827eb860cbf,1625737302196,-61
b2,b827ebd17612,1625737302198,-70
b2,b827eb3ab224,1625737302200,-67
b2,b827ebc26413,1625737302203,-79
b2,b827ebfa82f0,1625737302207,-75
b2,b827eb3f8951,1625737302211,-57
b2,b827eb259b99,1625737302214,-89
b2,b827ebdef939,1625737302697,-80
b2,b827eb860cbf,1625737302700,-55
b2,b827ebd17612,1625737302703,-82
b2,b827ebfa82f0,1625737302711,-71
b2,b827eb3f8951,1625737302716,-58
b2,b827ebed958b,1625737303191,-60
b2,b827ebd2aa10,1625737303202,-79
b2,b827eb0827cf,1625737303204,-83
b2,b827eb860cbf,1625737303206,-55
b2,b827eb5b744d,1625737303208,-67
b2,b827ebc26413,1625737303215,-81
b2,b827eb259b99,1625737303226,-84
b2,b827eb527b42,1625737303249,-71
b2,b827ebed958b,1625737303691,-74
b2,b827ebdef939,1625737303703,-80
b2,b827eb0827cf,1625737303705,-73
b2,b827eb860cbf,1625737303706,-56
b2,b827ebd2aa10,1625737303707,-83
b2,b827eb5b744d,1625737303709,-61
b2,b827eb3ab224,1625737303711,-81
b2,b827ebc26413,1625737303715,-73
b2,b827ebfa82f0,1625737303719,-79
b2,b827eb3f8951,1625737303724,-71
b2,b827eb259b99,1625737303727,-59
b2,b827eb527b42,1625737303750,-63
b2,b827eb640a9c,1625737304211,-71
b2,b827ebd2aa10,1625737304211,-91
b2,b827ebdef939,1625737304211,-81
b2,b827eb0827cf,1625737304213,-77
b2,b827eb860cbf,1625737304214,-54
b2,b827eb5b744d,1625737304216,-58
b2,b827ebc26413,1625737304223,-60
b2,b827eb259b99,1625737304235,-71
b2,b827eb527b42,1625737304257,-54
b2,b827ebed958b,1625737304705,-76
b2,b827eb640a9c,1625737304718,-66
b2,b827eb0827cf,1625737304718,-60
b2,b827eb5b744d,1625737304722,-46
b2,b827eb3ab224,1625737304725,-59
b2,b827ebc26413,1625737304728,-78
b2,b827ebd17612,1625737304728,-85
b2,b827eb3f8951,1625737304737,-66
b2,b827eb527b42,1625737304763,-77
b2,b827ebed958b,1625737305207,-84
b2,b827eb640a9c,1625737305218,-70
b2,b827ebd2aa10,1625737305219,-76
b2,b827ebdef939,1625737305219,-78
b2,b827eb0827cf,1625737305220,-72
b2,b827eb860cbf,1625737305222,-43
b2,b827eb5b744d,1625737305223,-61
b2,b827ebd17612,1625737305225,-79
b2,b827eb3ab224,1625737305226,-73
b2,b827ebc26413,1625737305231,-79
b2,b827eb3f8951,1625737305238,-56
b2,b827eb527b42,1625737305265,-66
b2,b827ebd2aa10,1625737305729,-82
b2,b827eb860cbf,1625737305732,-38
b2,b827ebd17612,1625737305735,-76
b2,b827eb3ab224,1625737305736,-65
b2,b827ebc26413,1625737305740,-85
b2,b827eb3f8951,1625737305748,-74
b2,b827eb527b42,1625737305775,-71
b2,b827ebed958b,1625737306223,-61
b2,b827eb640a9c,1625737306233,-69
b2,b827ebd2aa10,1625737306234,-76
b2,b827ebdef939,1625737306234,-79
b2,b827eb0827cf,1625737306235,-60
b2,b827eb860cbf,1625737306237,-55
b2,b827eb5b744d,1625737306239,-65
b2,b827ebd17612,1625737306240,-70
b2,b827eb3ab224,1625737306241,-67
b2,b827ebc26413,1625737306246,-79
b2,b827ebfa82f0,1625737306249,-78
b2,b827eb3f8951,1625737306253,-86
b2,b827eb259b99,1625737306258,-75
b2,b827eb527b42,1625737306280,-77
b2,b827ebc26413,1625737306751,-76
b2,b827ebfa82f0,1625737306755,-77
b2,b827ebed958b,1625737307228,-73
b2,b827eb640a9c,1625737307240,-71
b2,b827ebd2aa10,1625737307240,-87
b2,b827ebdef939,1625737307240,-69
b2,b827eb0827cf,1625737307241,-78
b2,b827eb860cbf,1625737307243,-52
b2,b827eb5b744d,1625737307245,-63
b2,b827ebd17612,1625737307246,-85
b2,b827ebfa82f0,1625737307255,-79
b2,b827eb3f8951,1625737307260,-56
b2,b827eb259b99,1625737307264,-58
b2,b827eb527b42,1625737307286,-69
b2,b827ebd2aa10,1625737307750,-86
b2,b827eb5b744d,1625737307755,-72
b2,b827eb3f8951,1625737307770,-67
b2,b827ebed958b,1625737308244,-72
b2,b827eb640a9c,1625737308257,-73
b2,b827ebd17612,1625737308262,-74
b2,b827eb3ab224,1625737308265,-79
b2,b827ebfa82f0,1625737308273,-69
b2,b827eb3f8951,1625737308277,-67
b2,b827eb640a9c,1625737308760,-66
b2,b827ebd2aa10,1625737308761,-89
b2,b827eb0827cf,1625737308763,-74
b2,b827eb860cbf,1625737308765,-54
b2,b827eb5b744d,1625737308765,-51
b2,b827ebd17612,1625737308767,-67
b2,b827ebfa82f0,1625737308777,-86
b2,b827eb3f8951,1625737308780,-72
b2,b827eb259b99,1625737308783,-67
b2,b827ebed958b,1625737309252,-74
b2,b827eb640a9c,1625737309262,-72
b2,b827ebd2aa10,1625737309264,-80
b2,b827ebdef939,1625737309264,-73
b2,b827eb0827cf,1625737309266,-84
b2,b827eb860cbf,1625737309267,-58
b2,b827eb5b744d,1625737309269,-69
b2,b827eb3ab224,1625737309271,-77
b2,b827ebc26413,1625737309276,-80
b2,b827ebfa82f0,1625737309279,-75
b2,b827eb3f8951,1625737309283,-73
b2,b827eb259b99,1625737309287,-85
b2,b827eb527b42,1625737309310,-71
b2,b827ebed958b,1625737309753,-80
b2,b827ebdef939,1625737309765,-84
b2,b827eb0827cf,1625737309766,-72
b2,b827eb860cbf,1625737309768,-61
b2,b827eb5b744d,1625737309770,-63
b2,b827ebc26413,1625737309778,-73
b2,b827eb3f8951,1625737309786,-70
b2,b827eb259b99,1625737309796,-75
b2,b827eb527b42,1625737309812,-71
b2,b827ebed958b,1625737310262,-78
b2,b827ebd2aa10,1625737310274,-78
b2,b827ebdef939,1625737310274,-97
b2,b827eb0827cf,1625737310275,-58
b2,b827eb860cbf,1625737310277,-66
b2,b827eb5b744d,1625737310279,-66
b2,b827eb3ab224,1625737310281,-91
b2,b827ebc26413,1625737310286,-75
b2,b827ebfa82f0,1625737310289,-91
b2,b827eb3f8951,1625737310295,-69
b2,b827eb259b99,1625737310297,-78
b2,b827eb527b42,1625737310320,-71
b2,b827ebed958b,1625737310773,-84
b2,b827ebdef939,1625737310783,-72
b2,b827ebd2aa10,1625737310783,-76
b2,b827eb0827cf,1625737310784,-72
b2,b827eb860cbf,1625737310786,-58
b2,b827eb5b744d,1625737310788,-46
b2,b827ebd17612,1625737310789,-73
b2,b827eb3ab224,1625737310791,-79
b2,b827ebc26413,1625737310795,-73
b2,b827ebfa82f0,1625737310798,-77
b2,b827eb3f8951,1625737310804,-74
b2,b827eb259b99,1625737310807,-76
b2,b827eb527b42,1625737310829,-74
b2,b827eb5b744d,1625737311292,-68
b2,b827ebd17612,1625737311293,-75
b2,b827ebc26413,1625737311298,-72
b2,b827eb3f8951,1625737311307,-78
b2,b827eb527b42,1625737311332,-67
b2,b827ebed958b,1625737311781,-81
b2,b827ebdef939,1625737311795,-78
b2,b827ebd2aa10,1625737311796,-68
b2,b827eb0827cf,1625737311797,-77
b2,b827eb5b744d,1625737311798,-66
b2,b827eb3ab224,1625737311802,-69
b2,b827ebc26413,1625737311805,-72
b2,b827ebfa82f0,1625737311810,-81
b2,b827eb3f8951,1625737311814,-70
b2,b827eb259b99,1625737311817,-76
b2,b827eb527b42,1625737311839,-55
b2,b827eb860cbf,1625737311937,-56
b2,b827eb640a9c,1625737312300,-67
b2,b827ebdef939,1625737312300,-84
b2,b827ebd2aa10,1625737312301,-87
b2,b827eb0827cf,1625737312302,-75
b2,b827eb860cbf,1625737312304,-61
b2,b827eb5b744d,1625737312304,-57
b2,b827ebd17612,1625737312307,-91
b2,b827eb3ab224,1625737312308,-83
b2,b827ebfa82f0,1625737312316,-62
b2,b827eb3f8951,1625737312320,-72
b2,b827eb259b99,1625737312323,-74
b2,b827eb527b42,1625737312346,-83
b2,b827ebed958b,1625737312794,-79
b2,b827eb640a9c,1625737312805,-69
b2,b827eb0827cf,1625737312807,-75
b2,b827eb860cbf,1625737312809,-58
b2,b827eb3ab224,1625737312813,-73
b2,b827ebd17612,1625737312813,-84
b2,b827ebc26413,1625737312818,-79
b2,b827ebfa82f0,1625737312821,-66
b2,b827eb3f8951,1625737312825,-56
b2,b827eb259b99,1625737312829,-76
b2,b827eb527b42,1625737312851,-77
b2,b827eb640a9c,1625737313305,-69
b2,b827ebdef939,1625737313306,-78
b2,b827eb860cbf,1625737313310,-67
b2,b827ebdef939,1625737313810,-82
b2,b827eb640a9c,1625737313811,-79
b2,b827ebd2aa10,1625737313811,-78
b2,b827eb0827cf,1625737313812,-70
b2,b827eb860cbf,1625737313814,-54
b2,b827eb5b744d,1625737313816,-67
b2,b827ebd17612,1625737313817,-83
b2,b827eb3ab224,1625737313818,-82
b2,b827ebc26413,1625737313823,-69
b2,b827ebfa82f0,1625737313826,-94
b2,b827eb259b99,1625737313835,-77
b2,b827eb527b42,1625737313856,-56
b2,b827ebed958b,1625737314304,-67
b2,b827ebdef939,1625737314317,-78
b2,b827eb640a9c,1625737314317,-71
b2,b827eb5b744d,1625737314322,-54
b2,b827ebd17612,1625737314323,-83
b2,b827eb3ab224,1625737314325,-80
b2,b827ebc26413,1625737314329,-73
b2,b827ebfa82f0,1625737314333,-78
b2,b827eb3f8951,1625737314337,-62
b2,b827eb259b99,1625737314340,-70
b2,b827eb527b42,1625737314362,-70
b2,b827ebdef939,1625737314822,-79
b2,b827eb860cbf,1625737314825,-61
b2,b827eb5b744d,1625737314825,-63
b2,b827eb3f8951,1625737314841,-60
b2,b827ebed958b,1625737315312,-69
b2,b827eb640a9c,1625737315322,-71
b2,b827ebdef939,1625737315323,-79
b2,b827ebd2aa10,1625737315324,-66
b2,b827eb0827cf,1625737315325,-60
b2,b827eb860cbf,1625737315327,-60
b2,b827eb5b744d,1625737315329,-60
b2,b827eb3ab224,1625737315331,-74
b2,b827ebc26413,1625737315336,-59
b2,b827ebfa82f0,1625737315339,-83
b2,b827eb3f8951,1625737315343,-79
b2,b827eb259b99,1625737315347,-75
b2,b827eb527b42,1625737315369,-72
b2,b827ebed958b,1625737315813,-62
b2,b827eb0827cf,1625737315827,-72
b2,b827eb860cbf,1625737315828,-64
b2,b827eb5b744d,1625737315830,-76
b2,b827ebd17612,1625737315831,-79
b2,b827ebc26413,1625737315837,-73
b2,b827ebfa82f0,1625737315840,-84
b2,b827eb3f8951,1625737315846,-80
b2,b827eb259b99,1625737315849,-73
b2,b827eb527b42,1625737315871,-56
b2,b827ebed958b,1625737316320,-63
b2,b827ebdef939,1625737316332,-83
b2,b827eb640a9c,1625737316332,-71
b2,b827eb5b744d,1625737316337,-77
b2,b827eb3ab224,1625737316339,-80
b2,b827ebc26413,1625737316344,-61
b2,b827ebfa82f0,1625737316347,-81
b2,b827eb3f8951,1625737316353,-75
b2,b827eb259b99,1625737316356,-73
b2,b827ebdef939,1625737316840,-71
b2,b827eb860cbf,1625737316844,-64
b2,b827ebd17612,1625737316847,-80
b2,b827eb3f8951,1625737316861,-77
b2,b827ebed958b,1625737317334,-65
b2,b827eb640a9c,1625737317346,-68
b2,b827eb5b744d,1625737317351,-77
b2,b827ebd17612,1625737317352,-71
b2,b827eb3ab224,1625737317355,-71
b2,b827ebc26413,1625737317358,-84
b2,b827eb860cbf,1625737317358,-62
b2,b827ebfa82f0,1625737317362,-87
b2,b827eb3f8951,1625737317367,-62
b2,b827eb259b99,1625737317369,-80
b2,b827eb860cbf,1625737317852,-61
b2,b827eb5b744d,1625737317853,-77
b2,b827eb860cbf,1625737318355,-62
b2,b827eb5b744d,1625737318356,-71
b2,b827ebd17612,1625737318357,-73
b2,b827eb3ab224,1625737318359,-75
b2,b827ebc26413,1625737318363,-83
b2,b827ebfa82f0,1625737318367,-80
b2,b827eb259b99,1625737318375,-74
b2,b827eb640a9c,1625737318859,-70
b2,b827ebdef939,1625737318860,-88
b2,b827ebd2aa10,1625737318861,-69
b2,b827eb0827cf,1625737318861,-83
b2,b827eb860cbf,1625737318864,-62
b2,b827eb5b744d,1625737318865,-72
b2,b827ebd17612,1625737318866,-82
b2,b827ebfa82f0,1625737318876,-80
b2,b827eb3f8951,1625737318881,-74
b2,b827eb259b99,1625737318884,-80
b2,b827eb527b42,1625737318905,-71
b2,b827ebed958b,1625737318924,-62
b2,b827ebed958b,1625737319347,-64
b2,b827eb640a9c,1625737319360,-70
b2,b827ebdef939,1625737319360,-80
b2,b827ebd2aa10,1625737319361,-87
b2,b827eb0827cf,1625737319361,-69
b2,b827eb860cbf,1625737319363,-50
b2,b827eb5b744d,1625737319365,-76
b2,b827ebd17612,1625737319366,-81
b2,b827ebfa82f0,1625737319375,-80
b2,b827eb3f8951,1625737319381,-74
b2,b827eb259b99,1625737319384,-73
b2,b827eb527b42,1625737319405,-87
b2,b827ebd17612,1625737319871,-80
b2,b827eb640a9c,1625737320371,-70
b2,b827ebd2aa10,1625737320372,-82
b2,b827eb0827cf,1625737320373,-62
b2,b827ebdef939,1625737320373,-79
b2,b827eb860cbf,1625737320375,-63
b2,b827ebd17612,1625737320378,-86
b2,b827eb3ab224,1625737320379,-80
b2,b827ebfa82f0,1625737320387,-94
b2,b827eb259b99,1625737320394,-82
b2,b827ebed958b,1625737320865,-63
b2,b827eb640a9c,1625737320875,-71
b2,b827ebd2aa10,1625737320877,-64
b2,b827ebdef939,1625737320877,-81
b2,b827eb0827cf,1625737320878,-62
b2,b827eb860cbf,1625737320879,-62
b2,b827ebd17612,1625737320883,-86
b2,b827eb3ab224,1625737320884,-75
b2,b827ebc26413,1625737320888,-76
b2,b827ebfa82f0,1625737320891,-80
b2,b827eb3f8951,1625737320896,-77
b2,b827eb259b99,1625737320900,-67
b2,b827eb527b42,1625737320921,-71
b2,b827eb860cbf,1625737321383,-59
b2,b827ebd17612,1625737321386,-79
b2,b827eb3f8951,1625737321401,-77
b2,b827eb860cbf,1625737321892,-60
b2,b827eb3ab224,1625737321895,-64
b2,b827ebd17612,1625737321895,-81
b2,b827ebc26413,1625737321900,-73
b2,b827ebfa82f0,1625737321903,-80
b2,b827eb3f8951,1625737321909,-77
b2,b827eb860cbf,1625737322400,-64
b2,b827ebd17612,1625737322404,-83
b2,b827ebc26413,1625737322409,-74
b2,b827eb3f8951,1625737322418,-59
b2,b827ebed958b,1625737322891,-63
b2,b827eb640a9c,1625737322903,-66
b2,b827ebd2aa10,1625737322903,-73
b2,b827ebdef939,1625737322903,-71
b2,b827eb0827cf,1625737322904,-52
