TransmitterID,anchorID, Avg, Distance
rpi8, rpi24,-73.625,11.318
rpi17, rpi16,-58.425,1.76
rpi17, rpi18,-64.95,2.53
rpi17, rpi19,-67.1,3.521
rpi17, rpi9,-64.8,3.793
rpi17, rpi13,-64.725,3.847
rpi17, rpi21,-55.725,3.981
rpi17, rpi12,-57.05,4.253
rpi17, rpi8,-65.85,6.169
rpi17, rpi10,-63.1,7.756
rpi17, rpi15,-66.725,7.991
rpi17, rpi4,-71.4,9.105
rpi17, rpi24,-68.775,9.961
rpi10, rpi15,-60.675,3.607
rpi10, rpi4,-69.9,3.65
rpi10, rpi12,-55.4,3.801
rpi10, rpi8,-69.65,5.184
rpi10, rpi13,-59.05,5.298
rpi10, rpi9,-61.425,5.844
rpi10, rpi16,-50.8,6.092
rpi10, rpi24,-71.275,6.607
rpi10, rpi17,-60.725,7.756
rpi10, rpi21,-63.65,7.862
rpi10, rpi18,-70.45,10.248
rpi10, rpi19,-71.85,10.64
rpi18, rpi19,-62.625,2.45
rpi18, rpi17,-64.8,2.53
rpi18, rpi16,-62.15,4.29
rpi18, rpi9,-66.775,5.449
rpi18, rpi13,-58.45,6.242
rpi18, rpi21,-62.825,6.606
rpi18, rpi12,-55.45,6.612
rpi18, rpi8,-76.75,7.901
rpi18, rpi10,-69.425,10.248
rpi18, rpi15,-65.3,10.458
rpi18, rpi4,-70.95,11.299
rpi18, rpi24,-69.875,12.014
rpi13, rpi16,-48.775,2.18
rpi13, rpi21,-55.7,2.542
rpi13, rpi12,-50.9,3.547
rpi13, rpi17,-62.625,3.847
rpi13, rpi15,-54.425,4.522
rpi13, rpi4,-69.225,5.01
rpi13, rpi9,-58.85,5.222
rpi13, rpi10,-59.675,5.298
rpi13, rpi24,-62.7,5.604
rpi13, rpi19,-63.6,6.093
rpi13, rpi18,-59.975,6.242
rpi13, rpi8,-56.325,7.03
rpi16, rpi17,-57.175,1.76
rpi16, rpi13,-49.425,2.18
rpi16, rpi12,-52.325,2.751
rpi16, rpi9,-61.925,3.36
rpi16, rpi21,-65.55,3.78
rpi16, rpi18,-63.425,4.29
rpi16, rpi19,-64.2,4.888
rpi16, rpi8,-67.7,5.468
rpi16, rpi15,-63.5,5.908
rpi16, rpi10,-53.125,6.092
rpi16, rpi4,-59.325,7.187
rpi16, rpi24,-62.55,7.745
rpi12, rpi9,-44.875,2.634
rpi12, rpi16,-52.0,2.663
rpi12, rpi8,-54.45,3.45
rpi12, rpi13,-57.925,3.547
rpi12, rpi10,-56.725,3.801
rpi12, rpi17,-55.975,4.253
rpi12, rpi4,-60.825,5.29
rpi12, rpi15,-55.075,5.445
rpi12, rpi21,-64.475,5.993
rpi12, rpi18,-57.025,6.612
rpi12, rpi24,-65.5,7.426
rpi12, rpi19,-64.75,7.602
rpi4, rpi8,-68.4,3.43
rpi4, rpi10,-68.875,3.65
rpi4, rpi9,-70.65,4.689
rpi4, rpi13,-70.6,5.01
rpi4, rpi12,-58.725,5.29
rpi4, rpi16,-58.45,7.187
rpi4, rpi15,-72.925,7.71
rpi4, rpi17,-69.15,9.105
rpi4, rpi24,-74.45,10.51
rpi4, rpi18,-73.275,11.299
